url,comments,created_at,updated_at,active_time,closed_at,commits,additions,deletions,changed_files,merged,closed,open,body_not_bot,body_prepro,negativeBody,neutralBody,positiveBody,compoundBody,,,compound_overall
https://api.github.com/repos/giterlizzi/dokuwiki-plugin-semantic/pulls/8,1,2018-07-06T07:14:58Z,2018-07-11T06:47:28Z,430350,,1,2,2,1,0,0,1,"Even if the email is hidden at all other places this plugin can give out the email by default without user consent. We can add option in admin to take consent. email is not mandatory in this structure. https://search.google.com/structured-data/testing-tool also doesn't flag a missing email as either warning or error.

I tested this and several other changes at wiki.ekvastra.in",even email hidden place plugin give email default without user consent add option admin take consent email mandatory structure also nt flag missing email either warning error tested several change wikiekvastrain,0.288,0.677,0.035,-0.8091,,,
https://api.github.com/repos/codelight-eu/gdpr-framework/pulls/15,1,2018-09-04T16:21:06Z,2018-09-11T13:26:40Z,594334,,1,1,1,1,0,0,1,Warning: count(): Parameter must be an array or an object that implements Countable in gdpr-framework/src/Modules/WPML/WPML.php on line 81,warning count parameter must array object implement countable line,0.231,0.769,0,-0.34,,Positive,152
https://api.github.com/repos/machbarmacher/gdpr-dump/pulls/51,0,2020-12-16T21:50:57Z,2020-12-16T21:50:57Z,0,,1,19,8,4,0,0,1,"This adds a new parameter `--gdpr-replacements-locale` which will be passed down to the faker library, so one can generate more localized dumps.",add new parameter passed faker library one generate localized dump,0.224,0.776,0,-0.3818,,Neutral,74
https://api.github.com/repos/benjaminhoffman/gatsby-plugin-mailchimp/pulls/81,4,2020-09-10T16:16:23Z,2021-11-22T18:36:17Z,37851594,,1,6,3,1,0,0,1,I have just excluded the GDPR fields from being converted to uppercase like the group fields,excluded gdpr field converted uppercase like group field,0.22,0.55,0.229,0.0258,,Negative,34
https://api.github.com/repos/ExpansiveWorlds/instrumentedsql/pulls/11,4,2018-04-28T00:57:01Z,2019-02-11T05:19:15Z,24985334,,1,6,13,1,0,0,1,"Remove all the labels and logs that surface parameterized query
arguments, because doing so severely impacts performance due to the use
of github.com/kr/pretty and because parameterized query arguments often
contain sensitive data.

Because parameterized query arguments often contain sensitive data (passwords, api tokens, etc.) or highly regulated data (e.g. HIPAA, GDPR, et al), it's generally a good idea to not log them.",remove label log surface parameterized query argument severely impact performance due use githubcomkrpretty parameterized query argument often contain sensitive data parameterized query argument often contain sensitive data password api token etc highly regulated data eg hipaa gdpr et al generally good idea log,0.204,0.739,0.056,-0.765,,,260
https://api.github.com/repos/kosmas58/pia/pulls/758,0,2021-12-02T12:58:44Z,2021-12-02T12:58:44Z,0,,1,52,52,1,0,0,1,"Some changes made in the texts;
Some mistakes and misprints fixed;
Hyperlinks changed to Bulgarian version of GDPR",change made text mistake misprint fixed hyperlink changed bulgarian version gdpr,0.194,0.806,0,-0.34,,,
https://api.github.com/repos/apache/cordova-serve/pulls/37,1,2020-06-24T11:03:07Z,2020-06-25T13:53:15Z,96608,,4,8,2,2,0,0,1,"https://huntr.dev/app/users/Hbkhan has fixed the suspected External Code Execution vulnerability 畑. Hbkhan has been awarded $25 for fixing the vulnerability through the huntr bug bounty program 跳. Think you could fix a vulnerability like this?

Get involved at https://huntr.dev/

Q | A
Version Affected | ALL
Bug Fix | YES
Original Pull Request | https://github.com/418sec/cordova-serve/pull/2
GitHub Issue URL | https://github.com/apache/cordova-serve/issues/36
Vulnerability README | https://github.com/418sec/huntr/blob/master/bounties/npm/cordova-serve/1/README.md

### User Comments:

### 投 Metadata *

_Please enter the direct URL for this bounty on huntr.dev. This is compulsory and will help us process your bounty submission quicker._

#### Bounty URL: https://www.huntr.dev/app/bounties/open/1-npm-cordova-serve

### 笞呻ｸ� Description *

The cordova-serve module suffers from remote code execution caused by the lack of validating dataDir & URL input arguments before executing the command in [#L89](https://github.com/apache/cordova-serve/blob/bbe740cd70dc31f91537864b39a8569d394205f0/src/browser.js#L89). The proposed fix will add a check for both inputs.

### 捗 Technical Description *

According to cordova-serve documentation `dataDir` & `URL` are described as:

_dataDir - a data dir to provide to Chrome (can be used to force it to open in a new window)_
_url - the url to open in the browser_

Types of the parameters
```javascript
@param url: string, dataDir: string
``` 

For the `dataDir` input I added a regex check which will make sure that the input doesn't contain any illegal character (which can result in RCE). If the validation fails it will print an error message


For the `URL` input I simply used `encodeURI` function which will encode the input as URL and give it to the chrome. If any extra command were added it will still be considered as a part of URL

### 菅 Proof of Concept (PoC) *
```shell
node poc.js
```

```node
// poc.js
const cordovaServe = require('./src/main.js');

var server = cordovaServe();

cordovaServe.launchBrowser({target: ""chrome"", url: ""http://localhost"", dataDir: ""; touch hbkhan""}).then(
  stdout => {
    console.log(`Browser was launched successfully: ${stdout}`);
  },
  error => {
    console.log(`An error occurred: ${error}`);
  }
);
```
![poc1](https://user-images.githubusercontent.com/17072444/85353051-fd0c6f00-b4cc-11ea-9973-d1899c3c3ce2.PNG)



```shell
node poc2.js
```

```node
// poc2.js
const cordovaServe = require('./src/main.js');
var server = cordovaServe();
cordovaServe.launchBrowser({target: ""chrome"", url: ""http://localhost; touch hbkhan"", dataDir: """"}).then(
  stdout => {
    console.log(`Browser was launched successfully: ${stdout}`);
  },
  error => {
    console.log(`An error occurred: ${error}`);
  }
);
```

![poc2](https://user-images.githubusercontent.com/17072444/85353150-33e28500-b4cd-11ea-808c-e2e7fd0ea852.PNG)



### 櫨 Proof of Fix (PoF) *

```shell
node poc.js
```

```node
// poc.js
const cordovaServe = require('./src/main.js');

var server = cordovaServe();

cordovaServe.launchBrowser({target: ""chrome"", url: ""http://localhost"", dataDir: ""; touch hbkhan""}).then(
  stdout => {
    console.log(`Browser was launched successfully: ${stdout}`);
  },
  error => {
    console.log(`An error occurred: ${error}`);
  }
);
```

![fix_poc1](https://user-images.githubusercontent.com/17072444/85353137-2f1dd100-b4cd-11ea-9b68-e9d580d2cffd.PNG)


```node
// poc2.js
const cordovaServe = require('./src/main.js');
var server = cordovaServe();
cordovaServe.launchBrowser({target: ""chrome"", url: ""http://localhost; touch hbkhan"", dataDir: """"}).then(
  stdout => {
    console.log(`Browser was launched successfully: ${stdout}`);
  },
  error => {
    console.log(`An error occurred: ${error}`);
  }
);
```
![fix_poc2](https://user-images.githubusercontent.com/17072444/85353170-3d6bed00-b4cd-11ea-9034-60d06063c052.PNG)




### 総 User Acceptance Testing (UAT)

```code
w'h'o'am'i
w\ho\am\i
echo test >> test
whoami
```
",fixed suspected external code execution vulnerability hbkhan awarded fixing vulnerability huntr bug bounty program think could fix vulnerability like get involved q version affected bug fix yes original pull request github issue url vulnerability readme user comment metadata please enter direct url bounty huntrdev compulsory help u process bounty submission quicker bounty url description cordovaserve module suffers remote code execution caused lack validating datadir url input argument executing command proposed fix add check input technical description according cordovaserve documentation datadir url described datadir data dir provide chrome used force open new window url url open browser type parameter javascript url string datadir string datadir input added regex check make sure input nt contain illegal character result rce validation fails print error message url input simply used encodeuri function encode input url give chrome extra command added still considered part url proof concept poc shell node pocjs node pocjs const cordovaserve require srcmainjs var server cordovaserve target chrome url datadir touch hbkhan stdout consolelog browser launched successfully stdout error consolelog error occurred error shell node node const cordovaserve require srcmainjs var server cordovaserve target chrome url touch hbkhan datadir stdout consolelog browser launched successfully stdout error consolelog error occurred error proof fix pof shell node pocjs node pocjs const cordovaserve require srcmainjs var server cordovaserve target chrome url datadir touch hbkhan stdout consolelog browser launched successfully stdout error consolelog error occurred error node const cordovaserve require srcmainjs var server cordovaserve target chrome url touch hbkhan datadir stdout consolelog browser launched successfully stdout error consolelog error occurred error user acceptance testing uat code w h oam whoami echo test test whoami,0.185,0.687,0.128,-0.9501,,,
https://api.github.com/repos/pschmitt/zabbix-template-speedtest/pulls/12,12,2020-06-25T14:52:06Z,2020-11-26T08:06:59Z,13281293,,1,1,1,1,0,0,1,"This change is originally proposed by someone else [@garbled1](https://github.com/pschmitt/zabbix-template-speedtest/pull/10) but it was on the wrong file but still I believe this change should be applied to all scripts, nevertheless to speed things up, I just proposed the same exact change to avoid forcing people looking up why this script hangs and no longer works.",change originally proposed someone else wrong file still believe change applied script nevertheless speed thing proposed exact change avoid forcing people looking script hang longer work,0.181,0.819,0,-0.6486,,,
https://api.github.com/repos/alshedivat/al-folio/pulls/223,1,2021-03-20T18:32:25Z,2021-07-18T22:19:37Z,10381632,,17,629,101,12,0,0,1,"Adds a cookie consent notice as discussed in #199.

Currently the notice is scrolled up and down, even if the header is set to fixed, which looks a bit strange. 
Also we would somehow need to block the embedded twitter tweets in the twitter example, as they generate cookies as well.
I added a new example on how to block a youtube video based on the cookie settings, but I do not use the twitter plugin myself.

resolves #199",add cookie consent notice discussed currently notice scrolled even header set fixed look bit strange also would somehow need block embedded twitter tweet twitter example generate cooky well added new example block youtube video based cookie setting use twitter plugin resolve,0.154,0.711,0.134,-0.25,,,
https://api.github.com/repos/fedora-infra/noggin/pulls/329,3,2020-08-07T22:53:45Z,2022-06-03T09:19:05Z,57407120,,1,5,5,2,0,0,1,"Asking names when this is not needed go against GDPR spirit
(Art 5.c: ""data minimization""), and since FAS do not ask that, it
is hard to argue we need the information.

This is also a problems for people having more than 1 name,
or people having just 1
(see https://en.wikipedia.org/wiki/Mononymous_person#Modern_times ).

There is also people who do not want to give their name for whatever reasons,
and who could do that before with FAS.

Finally, since the information is requested by default without opt-out, someone
who would change last name or first name will be forced to change it in FAS, thus adding
to the burden of name change. In the western world, that mean mostly
woman and/or trans people. So not having opt-out do not get in a direction
of simplifying their life, which seems to not go in favor of diversity.

Signed-off-by: M. S <misc@redhat.com>",asking name needed go gdpr spirit art data minimization since fa ask hard argue need information also problem people name people see also people want give name whatever reason could fa finally since information requested default without optout someone would change last name first name forced change fa thus adding burden name change western world mean mostly woman andor trans people optout get direction simplifying life seems go favor diversity signedoffby misccom,0.151,0.78,0.069,-0.7717,,,
