url,comments,created_at,updated_at,active_time,closed_at,commits,additions,deletions,changed_files,merged,closed,open,comments_not_bot,comment_prepro,negativeComment,neutralComment,positiveComment,compoundComment,,,compound_overall
https://api.github.com/repos/robiningelbrecht/drush-gdpr-dumper/pulls/3,1,2019-01-10T14:51:46Z,2019-01-21T11:16:39Z,937493,,8,395,89,14,0,0,1,"```suggestion
    // @TODO Combine with above dispatched event to allow changing empty tables?
    if (!empty($config['empty_tables'])) {
      $empty_tables = array_keys(array_filter($config['empty_tables']));
      $options['structure-tables-list'] = $empty_tables;
    }

```

I could be very wrong - as this is totally untested! - but I suspect this might be do the trick to implementing empty tables, as asked in https://github.com/robiningelbrecht/drush-gdpr-dumper/issues/1#issuecomment-453200382 ?

As mentioned in the `@TODO` comment though, it should probably be 'alterable' - maybe the `GdprReplacementsEvent` could expanded to cover more than just replacements, so that both settings could be extended by modules looking to add their own tables?",suggestion combine dispatched event allow changing empty table empty config emptytables emptytables arraykeys arrayfilter config emptytables option structuretableslist emptytables could wrong totally untested suspect might trick implementing empty table asked mentioned comment though probably alterable maybe could expanded cover replacement setting could extended module looking add table,0.225,0.74,0.035,-0.8062,,,
https://api.github.com/repos/friends-of-contao/contao-privacy/pulls/44,0,2018-10-25T09:21:13Z,2018-10-25T12:54:38Z,12805,,4,63,0,5,0,0,1,"```suggestion
$GLOBALS['TL_LANG']['FMD']['focRegistration'] = ['Registrazione (GDPR)', 'Genera un modulo di registrazione utente'];
```

Right.. sorry, I've a broken ""e"" key in my keyboard

Ma figurati!

",suggestion globals tllang fmd focregistration registrazione gdpr genus un modulo di registrazione utente right sorry broken e key keyboard figurati,0.206,0.794,0,-0.5267,,,
https://api.github.com/repos/rsyslog/rsyslog/pulls/4500,12,2021-01-14T15:00:56Z,2022-03-29T13:10:51Z,37922995,,4,92,23,10,0,0,1,"```suggestion
	if(!etry->act->edge->instarr[0]->inotifyNewBehaviour) {
```

You will need to guard both  **if** and **else** blocks with curly brackets, because of DBGPRINTF expansion.

I think we don't need to distinguish between old and new style anymore, due to https://github.com/rsyslog/rsyslog/pull/4633/commits/fca8e14d65019ee1b814c4ed16ec7ff04de30809#diff-cfff74f7d8ebca9eeb47097882fc54089b1973aeb56c4b2d8240f40f77b2ca38R999 but I might be wrong in this case.

",suggestion etry act edge instarr inotifynewbehaviour need guard else block curly bracket dbgprintf expansion think nt need distinguish old new style anymore due might wrong case,0.2,0.8,0,-0.7184,,,
https://api.github.com/repos/CachetHQ/Cachet/pulls/3924,2,2020-01-26T10:15:57Z,2020-10-09T12:39:19Z,22213402,,33,1183,46,43,0,0,1,"Looks like there's a label missing for this input. That makes it hard for people using screen readers or voice control to use the input.

",look like label missing input make hard people using screen reader voice control use input,0.199,0.663,0.138,-0.0258,,,
https://api.github.com/repos/Ada-C16/task-list-api/pulls/1,0,2021-10-29T19:59:26Z,2021-11-10T19:32:42Z,1035196,,12,616,10,17,0,0,1,"Have you been using Cython? 😮 I've never tried it, what's it been like?

Nice list comprehension!

Nice job on these! As an alternative, you could have a single function that only includes the tasks attribute if there are no tasks assigned to the goal.

Very minor nitpick: remove unneeded statements

Nice foreign key!

Nice and compact!

Consider using `get_or_404` here.

Very cool!

I like the idea here of not actually deleting tasks from the DB and instead hiding them! This is what a lot of real-world applications do. However, if you're ever doing this in a real job you have to be very careful. Different countries have different laws about data actually being deleted from the database when the customer requests it to be removed. This is especially true if you have in users in the EU because of [GDPR](https://www.cmswire.com/customer-experience/an-introduction-to-the-gdpr/).

An alternative here would be to delete the if-block and instead use a try/except that looked for any key errors on the `request_body`.

👍🏻

I really like that you have the channel ID as an environment variable as well! Great variable names too!

One way you may consider refactoring your code is to make it so that the `os.environ.get`s are only called once when your app is initialized instead of every time a task is completed.

Nice job asserting both that the response is correct and the DB is properly updated.

",using cython never tried like nice list comprehension nice job alternative could single function includes task attribute task assigned goal minor nitpick remove unneeded statement nice foreign key nice compact consider using cool like idea actually deleting task db instead hiding lot realworld application however ever real job careful different country different law data actually deleted database customer request removed especially true user eu gdpr alternative would delete ifblock instead use tryexcept looked key error requestbody really like channel id environment variable well great variable name one way may consider refactoring code make osenvironget called app initialized instead every time task completed nice job asserting response correct db properly updated,0.175,0.725,0.101,-0.7715,,,
https://api.github.com/repos/Heyzap/CocoapodsSource/pulls/10,0,2018-05-15T15:20:32Z,2018-05-16T08:50:10Z,62978,,1,40,0,1,0,0,1,"is that actually true?! I believe it's iOS 9 or so

:trollface: 

I shamelessly copied their official podspec, so whatever is there should be right.

",actually true believe io trollface shamelessly copied official podspec whatever right,0.169,0.634,0.197,0.1027,,,
https://api.github.com/repos/matrix-org/matrix-spec-proposals/pulls/3389,0,2021-09-09T13:17:45Z,2022-12-19T19:15:24Z,40283859,,2,27,0,1,0,0,1,"Typo fix:

```suggestion
If `m.relates_to` is not an object, or `m.relates_to` would be
```

Not including it as an empty object seems to not be what we normally do? See https://github.com/matrix-org/matrix-spec-proposals/pull/3821#discussion_r1190207646

",typo fix suggestion mrelatesto object mrelatesto would including empty object seems normally see,0.13,0.87,0,-0.2023,,,
https://api.github.com/repos/rsyslog/rsyslog/pulls/4189,15,2020-02-21T06:15:37Z,2020-10-05T06:40:04Z,19614267,,4,631,22,5,0,0,1,"`statefn` sounds like `state-function` as opposed to `state-file-name`, how do you like `state_file_name` and `state_file_path` for `statefn` and `statefname respectively? 

Shouldn't we re-attempt partial writes? (the case where `w < toWrite`)?

Partial write may not be due to an unrecoverable error.

`fn` sounds like `function`, how about `file_name`?

Should we use a subdir?

For very large tables, `JSON_C_TO_STRING_PLAIN ` may be more efficient.

I'd do this in a bg-thread. This can potentially cause unwanted latency spikes in log-event processing.

iirc, this can get called from multiple threads. I think you want to lock the bucker for processing increment and comparision.

Also, `persistStateInterval` is being compared to a counter here. This can lead to a cascading failure (is a DoS attack vector) when there is sudden surge in log-messages that causes several writes going in back to back, degrading file-IO in general, potentially leading to back-pressure on other buffered-writes due to dirty-page threshold being hit.

I'd base persist on time (time-interval) not event-count.

If it must be based on event-count, I'd atleast introduce a min-time threshold such that persist is never issued within the threshold-interval of previous persist.

We have an exclusive lock at this point, atomic-add does not seem necessary.

Also, the impl doesn't look atomic, so at this point the name seems misleading.

But I think we should use atomic-persist here.

How about we write this to a temp-file (in the same dir) and then `rename` it to desired file-name?

While `open` with `truncate` and `write` is not an atomic operations, `rename` is wrt the new-name.

This does not belong here. I think you want to put this in `dynstats_newBucket`. Loading it here would artificially bump the counters `n - 1` times, where `n` is the number of `dyn_inc` call-site initialization(s). So if counter `foo` has value `10` and we have 3 sites, we'd end up with value 30 (instead of 10).

yes, that sounds good.

We do already have the ability for user specify a working directory already, so do we still need it?

yes. 

I think this depends on whether we think the re-attempt should occur right away, or on the next attempt to persist as specified by the user. Do you think that is sufficient, or we should be more proactive on this?

ok

I think it can make sense to permit different locations other than the global work dir - sometimes it makes sense to split different state info for easier management. But if I understood @janmejay correctly, he is suggesting to think about a subdir under the work dir.

Ok, perhaps we can add a subdir like 'dynstats' underneath the global work dir. 

Add an assertion that assures us bucket_stats_name hasn't truncated the name? In such a case we may end up with conflicting (duplicate) counter-names.

The comment above says we return an error in case we are unable to find / read the file, but we don't seem to be returning error. Is this intentional? If so I think we should update the comment.

Shall we move this to `finalize_it:` with a null-check?

I don't quite understand the difference between these two yet, perhaps by the time I have read thru the change it'll be clear, but since it is difficult to guess, I think it may be better to use self-documenting names.

`loadPersistedState` would probably be a better name.

Similarly to the suggestion above, `dynstats_loadPersistedState` would probably be more appropriate name.

We seem to return error (atleast according to the comment), but we don't check it here. Do you want to add a check?

I think this returns -1 on error, do we need to check?

Please add `sync` and handle error similar to `write`.

Or document the fact that we do not make it durable.

Content can be pretty big, are you sure you want to log it? Perhaps we should settle for the first few 100 bytes?

Let us handle spurious wake-ups.

Should we have `destroyFileWriteTask` function instead and just call it here? 

Aren't we supposed to free `name` and `content` too?

Perhaps we should create a `destroyFileWriteTask` function that is used to free task?

We have an unbounded queue here. This can cause unbounded memory growth? Isn't it better to use a ring and overwrite old content in favor of new when file-writer can't keep up?

This is only necessary when `work_q.size == 1` right? Shall we wrap a check around this?

All of these need to be error checked.

I'd prefer a `stopFlush` flag on `dynstats_buckets_t` and pass it in to `fileWriteWorker` and have it check terminate condition on that.

In general, it is better for all components in the codebase to be modular. If we ever need dynamic stop/start of components, or need to turn something off on the fly for debugging etc, modular design would allow us to call destroy and rest assured everything has been shutdown (regardless of global shutdown state).

Let us avoid using global flags such as this one as far as possible.

A simple alternative is to flip the flag on `dynstats_buckets_t` in `destroyFileWriteWorker` or `dynstats_destroyAllBuckets` etc.

In favor of modularity, I think we should fold these into `dynstats_buckets_t` too.

Error check is missing.

Error check missing.

Null, errno check missing.

Error check.

Error check.

Let us name functions a little bit better. If dynstats ever gets another background worker, this name will make things confusing. 

Perhaps `dumpStats` or `writeStats` or something that describes its purpose better?

Retry write `[w, toWrite)` instead? If `w < 0` I guess it makes sense to use failure path, but `w >= 0` doesn't necessarily imply a failure.

Also, we need to error-check this.

As the failure-path below points out, incomplete writes can be troublesome. 

Why not write to a tmp path (in the same dir), sync it and then move it to the expected destination?

If update is lost, we'd have the old file, if it becomes durable, we'd have the new file. We are ok in both cases.

In case of partial-failure in write, we can just kill the new file (which is a tmp-file anyway, so no harm done).

Aren't we supposed to put `jval` and `json_bucket_values` too?

This looks like invalid memory access.

Given `jstr` above is `const char*` I presume it is tied to `json`.
And you just free'ed `json` here. So worker would end up performing illegal memory access when it reads `content`, won't it?

just set `shouldPersist` to condition in this `if`?

We need a better name for this. `persist_state_interval` doesn't really help one understand what this field is used for.

Aren't we supposed to hold bucket-lock for this?

Better name and a short comment describing what this is would be very helpful.

Looks like this can race with destroy, destroy actually kills the lock and bucket.

`task->content` is the invalid access I talk about in context of `put(json)`.

I think we're safe, as we actually make a copy of the content here: https://github.com/rsyslog/rsyslog/blob/74a1d45d26d4b1a8bcb90b62af8fc1ddc97086b5/runtime/dynstats.c#L1074

since we just copy the json content string to the task structure, that is why we immediately free it here. So no need to keep it around.

yes, looking back, the idea was to snap to the imfile config naming convention: https://www.rsyslog.com/doc/v8-stable/configuration/modules/imfile.html#persiststateinterval
are you ok with leaving the configuration name as `persistStateInterval` ? We could perhaps rename the variable to something like `persistStateWriteCountInterval` or something similar?


if the state file is not loaded, we consider it a normal condition, thus it is not checked. we already log something inside the function, so didn't think it was worth adding another log or similar here.

not really needed, as `dynstats_openStateFile` can fail meaning statefile data couldn't load, perhaps it doesn't exist, or was deleted for some reason. We should still continue to operate normally.

Yes, the initial idea for this feature, was simply to back up the counts, in the way imfile backs up the file positions. This way, at least if rsyslog is restarted normally, the counts are not reset. 

Making this feature completely durable, seems to add lots of overhead, which we could add, but does it make sense to make it configurable? If so, i'd like to push that as a future enhancement?

we are also directly calling `destroyFileWriteWorker` when `dynstats_destroyAllBuckets` is called, but agree, we can just add `stopFlush` instead of using the global shutdown state.

https://github.com/rsyslog/rsyslog/blob/74a1d45d26d4b1a8bcb90b62af8fc1ddc97086b5/runtime/dynstats.c#L596-L598

I meant `GetTime`

We should perhaps ignore `ENOENT` (just generate a log message) but IMO all other errors should be checked / bubbled up.

Not fully durable impl is ok.
Configurable durability is ok too.
Since we are doing this in a different thread, I thought the overhead of `sync` wouldn't really be a problem.
I think its ok either way, but we should definitely document the behavior inline and in user facing documentation of dynstats.

Yes, makes sense. Sorry for the false alarm.

Yes, sorry about the false alarm.

yes, great catch. I'm moving all instances of writers prior to destroy. added some asserts into this function to confirm as well.

",statefn sound like statefunction opposed statefilename like statefilename statefilepath statefn statefname respectively nt reattempt partial writes case w towrite partial write may due unrecoverable error fn sound like function filename use subdir large table jsonctostringplain may efficient bgthread potentially cause unwanted latency spike logevent processing iirc get called multiple thread think want lock bucker processing increment comparision also compared counter lead cascading failure do attack vector sudden surge logmessages cause several writes going back back degrading fileio general potentially leading backpressure bufferedwrites due dirtypage threshold hit base persist time timeinterval eventcount must based eventcount atleast introduce mintime threshold persist never issued within thresholdinterval previous persist exclusive lock point atomicadd seem necessary also impl nt look atomic point name seems misleading think use atomicpersist write tempfile dir rename desired filename open truncate write atomic operation rename wrt newname belong think want put dynstatsnewbucket loading would artificially bump counter n time n number dyninc callsite initialization counter foo value site end value instead yes sound good already ability user specify working directory already still need yes think depends whether think reattempt occur right away next attempt persist specified user think sufficient proactive ok think make sense permit different location global work dir sometimes make sense split different state info easier management understood correctly suggesting think subdir work dir ok perhaps add subdir like dynstats underneath global work dir add assertion assures u bucketstatsname nt truncated name case may end conflicting duplicate counternames comment say return error case unable find read file nt seem returning error intentional think update comment shall move finalizeit nullcheck nt quite understand difference two yet perhaps time read thru change clear since difficult guess think may better use selfdocumenting name loadpersistedstate would probably better name similarly suggestion would probably appropriate name seem return error atleast according comment nt check want add check think return error need check please add sync handle error similar write document fact make durable content pretty big sure want log perhaps settle first byte let u handle spurious wakeups function instead call nt supposed free name content perhaps create function used free task unbounded queue cause unbounded memory growth nt better use ring overwrite old content favor new filewriter ca nt keep necessary workqsize right shall wrap check around need error checked prefer stopflush flag dynstatsbucketst pas filewriteworker check terminate condition general better component codebase modular ever need dynamic stopstart component need turn something fly debugging etc modular design would allow u call destroy rest assured everything shutdown regardless global shutdown state let u avoid using global flag one far possible simple alternative flip flag dynstatsbucketst etc favor modularity think fold dynstatsbucketst error check missing error check missing null errno check missing error check error check let u name function little bit better dynstats ever get another background worker name make thing confusing perhaps dumpstats writestats something describes purpose better retry write w towrite instead w guess make sense use failure path w nt necessarily imply failure also need errorcheck failurepath point incomplete writes troublesome write tmp path dir sync move expected destination update lost old file becomes durable new file ok case case partialfailure write kill new file tmpfile anyway harm done nt supposed put jval jsonbucketvalues look like invalid memory access given jstr const char presume tied json freeed json worker would end performing illegal memory access read content wo nt set shouldpersist condition need better name nt really help one understand field used nt supposed hold bucketlock better name short comment describing would helpful look like race destroy destroy actually kill lock bucket task content invalid access talk context put json think safe actually make copy content since copy json content string task structure immediately free need keep around yes looking back idea snap imfile config naming convention ok leaving configuration name could perhaps rename variable something like something similar state file loaded consider normal condition thus checked already log something inside function nt think worth adding another log similar really needed fail meaning statefile data could nt load perhaps nt exist deleted reason still continue operate normally yes initial idea feature simply back count way imfile back file position way least rsyslog restarted normally count reset making feature completely durable seems add lot overhead could add make sense make configurable like push future enhancement also directly calling called agree add stopflush instead using global shutdown state meant gettime perhaps ignore enoent generate log message imo error checked bubbled fully durable impl ok configurable durability ok since different thread thought overhead sync would nt really problem think ok either way definitely document behavior inline user facing documentation dynstats yes make sense sorry false alarm yes sorry false alarm yes great catch moving instance writer prior destroy added asserts function confirm well,0.127,0.695,0.177,0.9857,,,
https://api.github.com/repos/ShizukuIchi/winXP/pulls/100,2,2021-07-24T18:25:10Z,2021-09-30T14:59:40Z,5862870,,1,3,3,1,0,0,1,"This seems a bit conflicting to the user... it doesn't actually accept the cookies. This *could* be worse then not telling the user about the cookies, you are implying that they ***can*** opt out of the cookies.  

Another note is that, at least where GDPR applies, you must explain the data that is being collected, saying words such as ""like"" do not make up a privacy policy. 

Here is an example of something that could be said: 
> This site uses cookies to store data (including, but not limited to, Minesweeper highscores). If you do not agree to the storing of such data do not use this site, or the features that collect such data.  

",seems bit conflicting user nt actually accept cooky could worse telling user cooky implying opt cooky another note least gdpr applies must explain data collected saying word like make privacy policy example something could said site us cooky store data including limited minesweeper highscores agree storing data use site feature collect data,0.126,0.75,0.124,-0.0258,,,
https://api.github.com/repos/apache/iceberg/pulls/2272,9,2021-02-25T05:12:32Z,2022-09-14T18:27:28Z,48950096,,6,1049,36,6,0,0,1,"nit: just declare it as `Iterator` should be enough.

with this, `enableBatchRead` at L331 can be simplified.

nit: we should provide more meaningful doc, otherwise we should just remove it instead of repeating the method name.

why suppress this warning?

> why suppress this warning?

```
Task :iceberg-spark2:checkstyleMain FAILED
[ant:checkstyle] [ERROR] /opt/sourcecode/iceberg-src/spark2/src/main/java/org/apache/iceberg/spark/source/StreamingReader.java:281:60: 'startOffset' 隐藏属性。 [HiddenField]
```

I think generally we just change the field visibility

Maybe add a comment about why this is resolved from the session conf instead of the merged session conf / source options?

So it seems like we're not using the checkpointLocation here, do we not need to store anything to be able to recover on failure? I think this is the case because as we read data it's not like it gets ""consumed"" but I just want to make sure.

Would it make sense to clean up the cachedPendingBatches here, or would they already have been removed at this point?

can we pl. take a configuration whether or not to assert. essentially - we want to factor in cases like 
1. compaction - which will perform harmless `REPLACE` operations &
2. gdpr deletes
- which will not impact the structured streaming result

https://docs.microsoft.com/en-us/azure/databricks/delta/delta-streaming#ignore-updates-and-deletes

",nit declare iterator enough enablebatchread simplified nit provide meaningful doc otherwise remove instead repeating method name suppress warning suppress warning task checkstylemain failed ant checkstyle error startoffset hiddenfield think generally change field visibility maybe add comment resolved session conf instead merged session conf source option seems like using checkpointlocation need store anything able recover failure think case read data like get consumed want make sure would make sense clean would already removed point pl take configuration whether assert essentially want factor case like compaction perform harmless replace operation gdpr deletes impact structured streaming result,0.123,0.692,0.185,0.4588,,,
