url,comments,created_at,updated_at,active_time,closed_at,commits,additions,deletions,changed_files,merged,closed,open,reviews_not_bot,review_prepro,negativeRe,neutralRe,positiveRe,compoundRe,,,compound_overall
https://api.github.com/repos/shinigami-eyes/shinigami-eyes/pulls/24,14,2019-05-25T20:49:40Z,2023-01-12T13:57:14Z,114714454,,1,1,1667,21,0,0,1,"stop being stupid lol

",stop stupid lol,0.667,0,0.333,-0.4215,,,
https://api.github.com/repos/rsyslog/rsyslog/pulls/4500,12,2021-01-14T15:00:56Z,2022-03-29T13:10:51Z,37922995,,4,92,23,10,0,0,1,"The CI failed due to some syntax errors, applied changes should resolve that.
Is the _inotifyNewBehaviour_  supposed to be an imfile module parameter?

",ci failed due syntax error applied change resolve inotifynewbehaviour supposed imfile module parameter,0.323,0.538,0.14,-0.5267,,,
https://api.github.com/repos/academic-moodle-cooperation/moodle-atto_bsgrid/pulls/23,1,2018-07-25T04:44:31Z,2021-04-22T14:22:14Z,86607463,,1,56,1,3,0,0,1,"Sorry it took so long to merge in this PR

",sorry took long merge pr,0.245,0.755,0,-0.0772,,,
https://api.github.com/repos/ThemeFuse/Brizy/pulls/266,6,2018-07-02T13:43:34Z,2022-11-17T11:24:10Z,138145236,,5,170,0,2,0,0,1,"Hi @alecszaharia,
I hope you've been well. I am seeing the following message.

This branch has conflicts that must be resolved
Only those with write access to this repository can merge pull requests.
Conflicting files
editor/api.php
editor/editor/editor.php

Kindest Regards
Jay Vijay

",hi hope well seeing following message branch conflict must resolved write access repository merge pull request conflicting file editorapiphp kindest regard jay vijay,0.168,0.606,0.226,0.1779,,,
https://api.github.com/repos/orbit-apps/elixir-shopifyapi/pulls/366,2,2020-12-29T00:54:46Z,2021-06-07T21:44:03Z,13898957,,2,30,0,2,0,0,1,"Looks great, nice addition.  I assume you are calling these in the same block that cleans up your DB records?

",look great nice addition assume calling block clean db record,0.157,0.324,0.519,0.7717,,,
https://api.github.com/repos/ConductionNL/commonground-gateway/pulls/149,0,2021-11-17T14:51:59Z,2023-02-06T16:01:30Z,38538571,,2,444,170,13,0,0,1,"
Looks good. 👍🏼 

I did not have enough time to _really_ review it, also it was a bit too big. However, see my inline comments for some of my thoughts.

Note: The build is failing.

",look good enough time really review also bit big however see inline comment thought note build failing,0.156,0.708,0.137,-0.1027,,,
https://api.github.com/repos/collective/collective.analyticspanel/pulls/4,0,2018-04-04T12:59:06Z,2022-10-18T12:47:27Z,143250501,,8,109,7,5,0,0,1,"sorry for late reply..i found that i had a pending review since 2 years ago :(

",sorry late reply found pending review since year ago,0.14,0.86,0,-0.0772,,,
https://api.github.com/repos/rsyslog/rsyslog/pulls/4189,15,2020-02-21T06:15:37Z,2020-10-05T06:40:04Z,19614267,,4,631,22,5,0,0,1,"@n2yen left some comments inline

In addition to the suggested changes, I think we should add bucket-metrics for:
* Total bytes flushed
* Total number of times it was flushed
* Number of errors encountered on flush-path

Also, we should threshold flush on time (not count of events).

There are some concurrency and functional problems pointed out inline, haven't looked at the tests yet. Please do ping me again once these have been addressed, I promise to cover tests in the next pass.

Thanks a lot for your patience and sorry for the delay.

cc: @rgerhards 

Very sorry for the delay. 
Posted my comments. Haven't really looked at the test yet, can do another pass once comments are addressed. 
Hope its ok if I review the test in the next pass.

Haven't looked at tests yet. Happy to take another look once all the comments are addresssed.

",left comment inline addition suggested change think add bucketmetrics total byte flushed total number time flushed number error encountered flushpath also threshold flush time count event concurrency functional problem pointed inline nt looked test yet please ping addressed promise cover test next pas thanks lot patience sorry delay cc sorry delay posted comment nt really looked test yet another pas comment addressed hope ok review test next pas nt looked test yet happy take another look comment addresssed,0.132,0.67,0.198,0.743,,,
https://api.github.com/repos/apache/cordova-serve/pulls/37,1,2020-06-24T11:03:07Z,2020-06-25T13:53:15Z,96608,,4,8,2,2,0,0,1,"Couple of notes...

Firstly, it really frustrates me to see security vulnerabilities (however serious) to be publicly reported without even attempting to go the secure channels that Apache has in place. All vulnerabilities should be disclosed through https://www.apache.org/security/

Secondly, I'm not so sure if this is actually a security issue. `cordova-serve` is a development tool, so any process that access to this (or an attacker that can gain access to this) would already be able to execute commands without through to `cordova-serve`. See https://github.com/apache/cordova-serve/issues/36#issuecomment-649066476

Nonetheless, I still think it's a good idea to close behaviour that is obviously not intended. I've tested this fork locally and tests are passing.

This change should not be called a security fix, because we do not consider this to be a security vulnerability.

The name of the contributing developer or organization should not appear in the title.

The name of the actual human author, preferably with valid email address, should appear as the author in any commits that we would consider merging.

The proposal seems to be in multiple commits. Considering the relatively small size, I think we should consider merging in a single squash commit.

I think a title such as ""avoid external code execution"" would be much better.

",couple note firstly really frustrates see security vulnerability however serious publicly reported without even attempting go secure channel apache place vulnerability disclosed secondly sure actually security issue cordovaserve development tool process access attacker gain access would already able execute command without cordovaserve see nonetheless still think good idea close behaviour obviously intended tested fork locally test passing change called security fix consider security vulnerability name contributing developer organization appear title name actual human author preferably valid email address appear author commits would consider merging proposal seems multiple commits considering relatively small size think consider merging single squash commit think title avoid external code execution would much better,0.121,0.661,0.218,0.8971,,,
https://api.github.com/repos/FreelyGive/gdpr/pulls/11,1,2018-05-16T09:05:23Z,2018-05-17T16:05:37Z,111614,,7,1030,0,12,0,0,1,"It looks like >60% of this is due to be re-written on switching to entity wrappers. There's also of functionality breaking debugging code and empty functions left in.

",look like due rewritten switching entity wrapper also functionality breaking debugging code empty function left,0.104,0.751,0.145,0.1779,,,
https://api.github.com/repos/FundingCircle/fc-vault-rails/pulls/28,5,2018-10-25T12:33:22Z,2019-09-24T10:57:15Z,28851833,,2,107,20,7,0,0,1,"I echo @h-lame's notes that a reference to the relevant bug/PR/issue in Rails would good, other than that the PR LGTM.

P.S. 💯 for `CreateProblems` migration 😆 

:+1: on the new description; it's much clearer what's going on and will really help us if we need to come back to this.

",echo lame note reference relevant bugprissue rail would good pr lgtm p createproblems migration new description much clearer going really help u need come back,0.098,0.697,0.205,0.4754,,,
https://api.github.com/repos/FundingCircle/fc-vault-rails/pulls/30,1,2018-10-29T15:42:14Z,2018-10-30T17:23:06Z,92452,,1,4,1,4,0,0,1,"In one of the attribute proxy PRs @elenatanasoiu and I were talking about having to add types to all the vault attribute definitions to avoid `can't convert an Integer into a String` errors with `vault_attributes` that rails wouldn't have with db columns.  Defaulting the type to string would mean we'd only need to add a type for the ones that aren't strings.  This is probably a pragmatic choice, even if there's part of me that thinks it's a good idea to be explicit everywhere.

Is there a test we can write to show that this is working?  E.g. maybe setting an integer value and having it come out as a string by default when it's on an attribute defined without a type.  This would fail if the type was `:value` - we could even write a test that expects that failure too for a `type: :value` attribute.

",one attribute proxy pr talking add type vault attribute definition avoid ca nt convert integer string error vaultattributes rail would nt db column defaulting type string would mean need add type one nt string probably pragmatic choice even part think good idea explicit everywhere test write show working eg maybe setting integer value come string default attribute defined without type would fail type value could even write test expects failure type value attribute,0.095,0.754,0.15,0.5789,,,
https://api.github.com/repos/matrix-org/matrix-spec-proposals/pulls/3389,0,2021-09-09T13:17:45Z,2022-12-19T19:15:24Z,40283859,,2,27,0,1,0,0,1,"Only thing I have to say about this is privacy concerns, as `rel_type` and `event_id` can still contain some data that'd possibly fall under GDPR (right to be forgotten).

If that's not a concern addressable here, this looks good.

",thing say privacy concern reltype eventid still contain data possibly fall gdpr right forgotten concern addressable look good,0.091,0.769,0.139,0.25,,,
https://api.github.com/repos/pycontribs/jira/pulls/1119,2,2021-08-12T17:09:30Z,2023-02-07T21:03:07Z,47015617,,2,3,3,1,0,0,1,"Refer to #1117 for how best to do this, so we support both Jira Cloud **and** Jira Server.

Feel free to reach out if anything is unclear.

Thanks 

",refer best support jira cloud jira server feel free reach anything unclear thanks,0.086,0.302,0.612,0.9042,,,
https://api.github.com/repos/nottinghamtec/Main-Website/pulls/80,5,2018-05-28T19:43:53Z,2023-01-12T15:13:19Z,145999766,,4,278,168,9,0,0,1,"Other than that minor phrasing point looks pretty damn good to me.

It's not quite as reader friendly as the Hire T&Cs but its still way better than most. Would it be worth having separate client and member facing policies? 

",minor phrasing point look pretty damn good quite reader friendly hire c still way better would worth separate client member facing policy,0.084,0.468,0.448,0.8928,,,
https://api.github.com/repos/keycloak/keycloak/pulls/7938,11,2021-04-15T18:52:02Z,2022-11-20T19:38:34Z,50460392,,11,333,30,13,0,0,1,"Requiring users to accept t&c during registration would be good to have, but please provide a summary of the proposed changes here, and how it should work.

Thanks @reda-alaoui for the PR and really sorry for the delay!

It LGTM  and I think it's a very good idea. Current terms and conditions need the user created as they are implemented as a user action. But for sure you have to change the import to `jakarta` or it won't compile in main now (it's our fault for not reviewing it sooner).

Please rebase the branch to put PR changes on top of current main and modify the import. Also squash the commits into a singe one once the PR is being reviewed.

I have a doubt about if we usually modify the `registration` flow in upgrades (for existing realms). I have checked a bit and I think the answer is no. The old flows remain as it were before. Nevertheless I will ask to the team and I'll confirm you the next week.

Have a nice weekend!

LGTM

Thanks @reda-alaoui ! LGTM too! I'm adding @andymunro for the documentation changes.

Looks good, @pedroigor.  Just one change to suggest.

@pedroigor This seems to be ready! Thanks a lot @reda-alaoui!

",requiring user accept c registration would good please provide summary proposed change work thanks alaoui pr really sorry delay lgtm think good idea current term condition need user created implemented user action sure change import jakarta wo nt compile main fault reviewing sooner please rebase branch put pr change top current main modify import also squash commits singe one pr reviewed doubt usually modify registration flow upgrade existing realm checked bit think answer old flow remain nevertheless ask team confirm next week nice weekend lgtm thanks alaoui lgtm adding documentation change look good one change suggest seems ready thanks lot alaoui,0.074,0.635,0.291,0.9742,,,
https://api.github.com/repos/wazuh/wazuh/pulls/4063,2,2019-10-09T10:02:18Z,2022-12-30T09:20:01Z,101776663,,2,0,18,1,0,0,1,"Hi 

I test these changes realizing the next test: 

- [x] The connexion of a new agent only generated one alert, not duplicated alerts.  
- [x] The restart of an agent doesn't resend SCA alerts. 
- [x] The scan-build has not reported bugs. 
- [x] AddressSanitizer doesn`t report any problem. 
- [x] All tests have been monitored by Valgrind without reporting memory leaks. 

Regards 



",hi test change realizing next test x connexion new agent generated one alert duplicated alert x restart agent nt resend sca alert x scanbuild reported bug x addresssanitizer report problem x test monitored valgrind without reporting memory leak regard,0.067,0.719,0.214,0.6041,,,
