url,comments,created_at,updated_at,active_time,closed_at,commits,additions,deletions,changed_files,merged,closed,open,reviews_not_bot,review_prepro,negativeRe,neutralRe,positiveRe,compoundRe,,,compound_overall
https://api.github.com/repos/shinigami-eyes/shinigami-eyes/pulls/24,14,2019-05-25T20:49:40Z,2023-01-12T13:57:14Z,114714454,,1,1,1667,21,0,0,1,"stop being stupid lol

",stop stupid lol,0.667,0,0.333,-0.4215,,,
https://api.github.com/repos/raksha-life/rescuekerala/pulls/1039,5,2019-08-10T11:05:06Z,2019-08-15T07:52:03Z,420417,,1,129,80,51,0,0,1,"fix merge conflicts

",fix merge conflict,0.535,0.465,0,-0.3182,,,
https://api.github.com/repos/con/open-brain-consent/pulls/96,0,2020-10-19T11:06:41Z,2020-10-19T12:28:07Z,4886,,1,2,2,1,0,0,1,"Unclear purpose of changes

",unclear purpose change,0.5,0.5,0,-0.25,,,
https://api.github.com/repos/con/open-brain-consent/pulls/96,0,2020-10-19T11:06:41Z,2020-10-19T12:28:07Z,4886,,1,2,2,1,0,0,1,"Unclear purpose of changes

",unclear purpose change,0.5,0.5,0,-0.25,,,
https://api.github.com/repos/XINO-DPSR/open-source-marathon/pulls/83,0,2019-07-16T17:58:35Z,2019-07-17T13:57:11Z,71916,,2,37,265,17,0,0,1,"Error: ` urllib2.URLError: <urlopen error [Errno 8] _ssl.c:507: EOF occurred in violation of protocol>`

the last line of file should be newline according to pep8

",error urlopen error errno eof occurred violation protocol last line file newline according,0.462,0.538,0,-0.8225,,,
https://api.github.com/repos/datenanfragen/website/pulls/946,1,2022-10-09T23:26:02Z,2022-10-17T12:13:47Z,650865,,1,28,2,2,0,0,1,"I merged the current master into your changes and now the tests still fails and they also fail locally for me. You can ignore the fail in `svafinder.spec.js`, that is due to a problem with the backend at the time, but `use-cases/language-selection.spec.js` fails because of your changes. Can you fix the tests, @davenewham?

Thank you! Now it looks good :)

",merged current master change test still fails also fail locally ignore fail svafinderspecjs due problem backend time fails change fix test thank look good,0.454,0.408,0.138,-0.9081,,,
https://api.github.com/repos/wp-media/wp-rocket/pulls/5718,0,2023-01-26T09:55:33Z,2023-02-03T06:59:27Z,680634,,7,64,2,5,0,0,1,"Working as expected. :+1: 

NOTE
There is a PHP fatal error in one of the test cases I checked but according to @engahmeds3ed this is not related to us.
[testrail-report-445.pdf](https://github.com/wp-media/wp-rocket/files/10576309/testrail-report-445.pdf)




",working expected note php fatal error one test case checked according related u,0.383,0.617,0,-0.7351,,,
https://api.github.com/repos/jazzband/djangorestframework-simplejwt/pulls/519,0,2022-01-26T13:41:10Z,2022-02-24T22:55:18Z,2538848,,2,39,37,3,0,0,1,"I'm confused what this is trying to do; can you clarify? Are you just abstracting code?

",confused trying clarify abstracting code,0.365,0.635,0,-0.3182,,,
https://api.github.com/repos/wp-media/wp-rocket/pulls/5739,4,2023-02-03T12:14:29Z,2023-02-13T16:24:39Z,879010,,21,314,20,8,0,0,1,"Working fine then, failed test due to other known issue.
[testrail-report-465.pdf](https://github.com/wp-media/wp-rocket/files/11076087/testrail-report-465.pdf)


",working fine failed test due known issue,0.327,0.495,0.178,-0.3612,,,
https://api.github.com/repos/mautic/mautic/pulls/12032,2,2023-02-24T16:06:55Z,2023-03-01T13:38:31Z,423096,,7,17,835,41,0,0,1,"I did a code review, and did not notice critical issues with the files. 

",code review notice critical issue file,0.315,0.685,0,-0.3182,,,
